[2025-10-05 18:26:05] [CSRF] IP: 192.168.137.88 | User: Guest | Missing CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:26:12] [CSRF] IP: 192.168.137.88 | User: Guest | Missing CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:26:16] [CSRF] IP: 192.168.137.88 | User: Guest | Missing CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:26:24] [CSRF] IP: 192.168.137.88 | User: Guest | Missing CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:36:45] [CSRF] IP: 192.168.137.88 | User: Guest | Missing CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:42:49] [CSRF] IP: 192.168.137.88 | User: Guest | Missing CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:42:52] [CSRF] IP: 192.168.137.88 | User: Guest | Invalid CSRF token on student login | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:43:00] [LOGIN_SUCCESS] IP: 192.168.137.88 | User: 5 | User type: student | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:48:29] [LOGIN_SUCCESS] IP: 192.168.137.88 | User: 5 | User type: student | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 18:55:40] [LOGIN_SUCCESS] IP: 192.168.137.88 | User: 5 | User type: student | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 19:06:47] [LOGIN_SUCCESS] IP: 192.168.137.88 | User: 5 | User type: student | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 19:12:14] [LOGIN_SUCCESS] IP: 192.168.137.88 | User: 5 | User type: student | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36
[2025-10-05 19:15:48] [ACCESS] IP: ::1 | User: 5 | Disabled account login attempt: raj | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
[2025-10-05 19:16:50] [LOGIN_SUCCESS] IP: ::1 | User: 5 | User type: student | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
